Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
NWD2	204721		48	30	147	20.4%	No
PRKD1	615420		48	29	147	19.7%	Yes
RNF17	115753		48	36	147	24.5%	No
SEMA3A	537163		48	37	147	25.2%	No
SLC9C1	153330		48	29	147	19.7%	No
TENM4	788202		48	33	147	22.4%	No
TRRAP	172899		48	35	147	23.8%	Yes
TTC28	701827		48	34	147	23.1%	No
VWA3B	226184		48	31	147	21.1%	No
ABCA1	147150		47	36	147	24.5%	No
ATG2A	22715		47	32	147	21.8%	No
ATP10B	289095		47	34	147	23.1%	No
BCLAF1	33225		47	29	147	19.7%	No
BRCA2	85183		47	36	176	20.5%	Yes
CACNA2D1	497527		47	31	147	21.1%	No
CASZ1	160047		47	33	147	22.4%	No
CCNB3	149202		47	33	147	22.4%	Yes
CELSR1	176787		47	33	147	22.4%	No
CYLC1	25574		47	28	147	19.0%	No
DOCK3	709272		47	31	147	21.1%	No
DZIP3	105367		47	34	147	23.1%	No
ENPEP	199553		47	35	147	23.8%	No
KLHDC7A	5045		47	32	147	21.8%	No
KNDC1	66379		47	33	147	22.4%	No
LRFN5	297817		47	32	147	21.8%	No
MED12L	351787		47	36	147	24.5%	No
MS4A14	39227		47	32	147	21.8%	No
NOTCH4	29269		47	32	176	18.2%	Yes
OTOG	99892		47	29	147	19.7%	No
PCDHA12	137046		47	31	147	21.1%	No
PLXNB2	32718		47	35	147	23.8%	No
RAG1	82785		47	37	147	25.2%	No
SEMA3D	191862		47	33	147	22.4%	No
SETD1B	28648		47	30	147	20.4%	Yes
SIGLEC12	10574		47	33	147	22.4%	No
SLIT3	639400		47	31	147	21.1%	Yes
TNS3	307405		47	30	147	20.4%	No
TRPC4	238142		47	36	147	24.5%	No
UBR5	162273		47	35	147	23.8%	Yes
USP34	283625		47	33	147	22.4%	No
ZFYVE26	89217		47	35	147	23.8%	No
ZNF729	30736		47	22	147	15.0%	No
ZNF835	9804		47	27	147	18.4%	No
ZZEF1	139184		47	35	147	23.8%	No
ADAMTS19	278998		46	34	147	23.1%	No
AKAP12	118628		46	39	147	26.5%	No
ALPK3	56304		46	35	147	23.8%	No
BIRC6	262549		46	33	147	22.4%	No
C10ORF71	28328		46	28	147	19.0%	No
CCDC187	56929		46	18	147	12.2%	No
CDH7	140086		46	35	147	23.8%	No
CDH9	240554		46	34	147	23.1%	No
CHGB	13968		46	31	147	21.1%	No
COL18A1	108599		46	29	147	19.7%	No
DISP3	58679		46	33	147	22.4%	No
EGFLAM	207072		46	25	147	17.0%	No
FPGT-TNNI3K	346159		46	27	147	18.4%	No
GRIA2	182965		46	36	147	24.5%	No
INTS1	34143		46	33	147	22.4%	No
ITGAD	33171		46	35	147	23.8%	No
MMRN1	75098		46	31	147	21.1%	No
NFATC2	175875		46	35	147	23.8%	Yes
NUP214	109800		46	33	147	22.4%	Yes
PCDHB15	3971		46	37	147	25.2%	No
PCDHB5	3410		46	32	147	21.8%	No
PLCL2	287954		46	30	147	20.4%	No
RGPD4	65653		46	26	147	17.7%	No
SALL3	22860		46	30	147	20.4%	No
SGIP1	217873		46	33	147	22.4%	No
SIPA1L3	301162		46	34	147	23.1%	No
TDRD15	20401		46	24	147	16.3%	No
TSPOAP1	27568		46	34	147	23.1%	No
UNC13A	87030		46	28	147	19.0%	No
ZDBF2	39781		46	32	147	21.8%	No
ABCA2	21682		45	31	147	21.1%	No
BTBD8	104421		45	31	147	21.1%	No
CACNA2D4	126704		45	32	147	21.8%	No
COL21A1	337505		45	26	147	17.7%	No
COL27A1	156975		45	34	147	23.1%	No
GRIA4	372556		45	35	147	23.8%	No
GRIK2	1118922		45	33	147	22.4%	No
IQGAP2	304848		45	33	147	22.4%	No
KCNH7	467361		45	38	147	25.9%	No
KIF2B	2267		45	29	147	19.7%	No
MAST4	573214		45	26	147	17.7%	No
MEFV	16563		45	34	147	23.1%	No
NBAS	394428		45	33	147	22.4%	No
NSD1	168427		45	35	176	19.9%	Yes
PCDH11X	843970		45	30	147	20.4%	No
PCDHB4	3806		45	31	147	21.1%	No
PRR12	35258		45	29	147	19.7%	No
PTCH1	74078		45	35	176	19.9%	Yes
SFMBT2	252865		45	32	147	21.8%	No
SHROOM4	227507		45	31	147	21.1%	No
SLC8A3	145266		45	30	147	20.4%	No
SPTBN4	110224		45	37	147	25.2%	No
STYXL2	35091		45	33	147	22.4%	No
TRIM42	23087		45	30	147	20.4%	No
UNC5C	386703		45	33	147	22.4%	No
XIRP1	9390		45	31	147	21.1%	No
ZNF462	151349		45	31	147	21.1%	No
ZNF99	31969		45	30	147	20.4%	No
A2M	48566		44	30	147	20.4%	No
ATP8A1	248749		44	35	147	23.8%	No
CAMTA1	984253		44	28	147	19.0%	Yes
CCDC180	71448		44	35	147	23.8%	No
CDH2	245068		44	37	176	21.0%	Yes
CENPF	61403		44	35	147	23.8%	No
CHD7	189289		44	32	147	21.8%	No
CYP2C19	93621		44	31	176	17.6%	No
ELAPOR2	182788		44	32	147	21.8%	No
FREM1	176325		44	27	147	18.4%	No
ITPR3	76210		44	35	147	23.8%	No
LILRA1	8800		44	33	147	22.4%	No
MAGI3	295423		44	35	176	19.9%	No
MICAL3	236913		44	32	147	21.8%	No
MYPN	124121		44	31	147	21.1%	No
OCA2	344791		44	30	147	20.4%	No
PLPPR4	45299		44	35	147	23.8%	No
RIMBP2	372098		44	30	147	20.4%	No
SLC12A1	125641		44	32	147	21.8%	No
SLC12A5	38461		44	32	147	21.8%	No
SLIT1	187922		44	31	147	21.1%	No
ST6GAL2	85685		44	32	147	21.8%	No
UGT2B7	61625		44	33	147	22.4%	No
VEPH1	273878		44	32	147	21.8%	No
ADAMTS3	288253		43	30	147	20.4%	No
ADCY10	104830		43	33	147	22.4%	No
ADGRF5	104083		43	29	147	19.7%	No
ADGRG4	115928		43	34	147	23.1%	Yes
ATP8B4	324580		43	30	147	20.4%	No
C14ORF39	119075		43	27	147	18.4%	No
CADPS2	568369		43	27	147	18.4%	No
CDH19	103356		43	30	147	20.4%	No
CNTN4	959151		43	23	147	15.6%	No
CNTRL	103070		43	37	147	25.2%	Yes
COL6A2	36130		43	33	147	22.4%	No
FAM171A1	159647		43	34	147	23.1%	No
FASN	19957		43	35	147	23.8%	No
FSHR	192371		43	26	147	17.7%	No
GABRG1	88286		43	31	147	21.1%	No
KCNJ3	160500		43	32	147	21.8%	No
KIAA1210	71945		43	29	147	19.7%	No
KIAA1549L	297995		43	33	147	22.4%	No
MED13L	319789		43	32	147	21.8%	No
MINAR1	41302		43	26	147	17.7%	No
MSR1	459613		43	34	147	23.1%	No
MTCL1	127510		43	31	147	21.1%	No
MYBPC1	117829		43	31	147	21.1%	No
MYH7B	46628		43	30	147	20.4%	No
MYO3B	477027		43	28	147	19.0%	No
NCKAP5L	37611		43	26	147	17.7%	No
NLRP14	51594		43	33	147	22.4%	No
NYNRIN	20302		43	28	147	19.0%	No
PCDHA7	178100		43	27	147	18.4%	No
PCDHGA1	182462		43	29	147	19.7%	No
PCDHGA2	174216		43	24	147	16.3%	No
PCNX1	207978		43	34	147	23.1%	No
PDGFRB	44422		43	32	176	18.2%	Yes
PRB2	109502		43	34	147	23.1%	No
PRRC2A	17057		43	30	147	20.4%	No
PTPRH	28279		43	32	147	21.8%	No
RASGRF2	269853		43	30	147	20.4%	No
RIPK4	27721		43	34	176	19.3%	No
SLC4A10	560951		43	31	147	21.1%	No
SPATA16	251879		43	29	147	19.7%	No
TTC6	445814		43	30	147	20.4%	No
USP6	59003		43	37	147	25.2%	Yes
VWA8	394296		43	34	147	23.1%	No
YLPM1	96120		43	27	147	18.4%	No
ZNF135	27072		43	31	147	21.1%	No
ZNF560	32262		43	29	147	19.7%	No
ABCA3	64872		42	29	147	19.7%	No
ABCB4	78740		42	31	147	21.1%	No
ADAM18	145577		42	33	147	22.4%	No
AGBL1	969299		42	30	147	20.4%	No
AOX1	91201		42	31	147	21.1%	No
ATM	146299		42	35	176	19.9%	Yes
BICRA	95082		42	27	147	18.4%	No
BRINP2	111533		42	30	147	20.4%	No
CDK5RAP2	191298		42	35	147	23.8%	No
CGNL1	174763		42	32	147	21.8%	No
CIROZ	35606		42	35	147	23.8%	No
CSPG4	38527		42	28	147	19.0%	No
EMILIN2	69074		42	33	147	22.4%	No
FHOD3	482545		42	28	147	19.0%	No
GAS2L2	8750		42	31	147	21.1%	No
GCN1	67775		42	29	147	19.7%	No
GLI1	12484		42	33	147	22.4%	Yes
GRIA1	324255		42	29	147	19.7%	No
ITGA7	31837		42	31	147	21.1%	No
LAMB2	12006		42	31	147	21.1%	No
LRP5	136829		42	26	147	17.7%	Yes
MEGF10	174942		42	35	147	23.8%	No
MTCL2	86092		42	25	147	17.0%	No
MYOM1	153434		42	27	147	18.4%	No
NOS1	244029		42	28	147	19.0%	No
NRCAM	309095		42	31	147	21.1%	No
PCDHB7	3740		42	28	147	19.0%	No
SAMD9	18511		42	31	147	21.1%	Yes
SORBS1	250080		42	32	147	21.8%	No
STK31	122311		42	30	147	20.4%	No
SVIL	279792		42	33	147	22.4%	No
TRPM2	95175		42	30	147	20.4%	No
ZNF423	370396		42	32	147	21.8%	No
ZNF479	22189		42	28	147	19.0%	No
ADAM29	148513		41	31	147	21.1%	No
ATP7B	81731		41	31	147	21.1%	No
BCL9L	32052		41	29	147	19.7%	Yes
CD5L	67346		41	25	147	17.0%	No
COL25A1	494028		41	37	147	25.2%	No
DCAF4L2	3269		41	34	147	23.1%	No
DOCK6	63230		41	25	147	17.0%	No
DOCK9	293197		41	27	147	18.4%	No
EML5	180755		41	31	147	21.1%	No
ENPP2	116369		41	31	147	21.1%	No
GPC5	1475062		41	31	147	21.1%	No
HDAC9	915468		41	19	147	12.9%	No
HELZ	175546		41	34	147	23.1%	No
HHIP	99116		41	33	147	22.4%	No
HIVEP1	156238		41	29	147	19.7%	No
IGSF1	305394		41	33	147	22.4%	No
ITGB4	36632		41	28	147	19.0%	No
KIDINS220	116550		41	33	147	22.4%	No
LVRN	65166		41	29	147	19.7%	No
MASP1	74699		41	33	147	22.4%	No
MSH4	116361		41	28	147	19.0%	No
MTCL3	46530		41	30	147	20.4%	No
MUC2	35637		41	34	176	19.3%	No
NCAN	40300		41	31	147	21.1%	No
NPAS4	5673		41	27	147	18.4%	No
NUP210	104092		41	29	147	19.7%	No
NYAP1	11198		41	26	147	17.7%	No
PCDHA9	164576		41	26	147	17.7%	No
PIK3R5	86816		41	29	147	19.7%	No
PIKFYVE	92522		41	33	147	22.4%	No
PSD	18926		41	27	147	18.4%	No
PTPRB	121571		41	29	147	19.7%	Yes
PTPRU	90309		41	31	147	21.1%	No
PTPRZ1	188949		41	28	147	19.0%	No
RBP3	9519		41	29	147	19.7%	No
SELP	41773		41	26	147	17.7%	No
TBX18	77248		41	31	147	21.1%	No
TET3	123268		41	32	176	18.2%	Yes
TJP1	269549		41	32	147	21.8%	No
TRPC7	152801		41	32	147	21.8%	No
WNK1	158917		41	27	147	18.4%	No
ZNF208	77992		41	28	147	19.0%	No
ZNF568	88722		41	28	147	19.0%	No
ADAM2	94493		40	29	147	19.7%	No
AEBP1	10271		40	26	147	17.7%	No
AHDC1	70397		40	27	147	18.4%	No
AKAP11	51809		40	29	147	19.7%	No
ANO2	414364		40	29	147	19.7%	No
ANO4	411405		40	31	147	21.1%	No
CAD	26575		40	26	147	17.7%	Yes
CCDC80	52734		40	25	147	17.0%	No
CDC42BPA	328628		40	24	147	16.3%	No
CDH18	1104578		40	27	147	18.4%	No
CIT	191542		40	27	147	18.4%	No
COL4A5	257803		40	28	147	19.0%	No
COLEC12	183986		40	32	147	21.8%	No
CUL9	42407		40	31	147	21.1%	No
CYP2C9	51561		40	34	147	23.1%	No
DDX60	102593		40	31	147	21.1%	No
DLGAP2	970849		40	31	147	21.1%	No
GALNT13	585233		40	28	147	19.0%	No
HEG1	90288		40	26	147	17.7%	No
IL1RAPL1	1369273		40	28	147	19.0%	No
KAT6A	122520		40	35	176	19.9%	Yes
KCND2	477163		40	32	147	21.8%	No
KIAA0319	102088		40	31	147	21.1%	No
KIF4B	4387		40	25	147	17.0%	No
KSR2	515979		40	29	147	19.7%	Yes
MAP3K9	87020		40	31	176	17.6%	No
NAV1	287988		40	26	147	17.7%	No
NBEAL1	211771		40	25	147	17.0%	No
NEXMIF	192617		40	31	147	21.1%	No
NLRP11	51404		40	25	147	17.0%	No
PCDHA5	190744		40	32	147	21.8%	No
PCDHGA6	139085		40	30	147	20.4%	No
PCDHGA7	130237		40	29	147	19.7%	No
PLIN4	18198		40	30	147	20.4%	No
PROX1	58800		40	31	147	21.1%	No
SCAF1	18162		40	34	147	23.1%	No
SCN8A	222599		40	33	147	22.4%	No
SEMA5A	511110		40	28	147	19.0%	No
SLC4A5	127175		40	30	147	20.4%	No
TDRD1	53397		40	32	147	21.8%	No
TDRD5	99660		40	30	147	20.4%	No
TIAM2	425027		40	32	147	21.8%	No
TMC2	107008		40	31	147	21.1%	No
TNC	98683		40	25	147	17.0%	No
TRDN	422173		40	32	147	21.8%	No
ZEB1	211320		40	29	147	19.7%	No
ACSS3	324797		39	28	147	19.0%	No
ADD2	160882		39	29	147	19.7%	No
AOC1	36878		39	31	147	21.1%	No
ARHGAP31	126363		39	28	147	19.0%	No
BAZ2B	301971		39	30	147	20.4%	No
CACNA1F	28309		39	28	147	19.0%	No
CCDC88B	17331		39	28	147	19.0%	No
CDH4	688357		39	27	147	18.4%	Yes
CFAP43	102477		39	31	147	21.1%	No
CFAP91	64081		39	30	147	20.4%	No
CFHR4	32281		39	28	147	19.0%	No
CHD9	274160		39	33	147	22.4%	No
CILP2	8412		39	26	147	17.7%	No
CRISPLD1	50057		39	31	147	21.1%	No
CYP2C8	35140		39	31	176	17.6%	No
DDR2	156543		39	29	176	16.5%	Yes
DNAJC13	121531		39	29	147	19.7%	No
DSP	45392		39	33	147	22.4%	No
EPB41L3	238322		39	24	147	16.3%	No
F13A1	176934		39	29	147	19.7%	No
FLT4	48124		39	32	176	18.2%	Yes
GLI3	303317		39	27	147	18.4%	No
GON4L	109742		39	27	147	18.4%	No
GPRC6A	36999		39	27	147	18.4%	No
IQUB	82904		39	34	147	23.1%	No
KIF13B	195847		39	26	147	17.7%	No
LRBA	751321		39	30	147	20.4%	No
MAP3K19	82984		39	30	147	20.4%	No
MDC1	17756		39	30	147	20.4%	Yes
MKRN3	64402		39	24	147	16.3%	No
MTOR	156026		39	30	147	20.4%	Yes
MUC6	23896		39	29	147	19.7%	No
MYBPC2	33524		39	27	147	18.4%	No
MYOM2	120871		39	30	147	20.4%	No
OTOL1	7135		39	24	147	16.3%	No
PCDHB3	3355		39	27	147	18.4%	No
PLEKHA6	159364		39	32	147	21.8%	No
PRKG1	1307536		39	30	147	20.4%	No
PTPRF	101494		39	35	147	23.8%	No
REV3L	184688		39	28	147	19.0%	Yes
RREB1	144565		39	24	147	16.3%	No
ZEB2	156694		39	30	147	20.4%	No
ZNF285	19311		39	27	147	18.4%	No
ZNF334	13967		39	29	147	19.7%	No
ABCA12	207085		38	33	147	22.4%	No
ADAMTS6	333183		38	25	147	17.0%	No
ADGRB2	37777		38	27	147	18.4%	No
AGTR1	45262		38	27	176	15.3%	No
APBA2	233869		38	31	147	21.1%	No
ARHGAP20	136148		38	31	147	21.1%	No
ARHGEF15	12887		38	29	147	19.7%	No
ATXN1	462380		38	30	147	20.4%	No
C2CD3	158493		38	31	147	21.1%	No
C9	87343		38	34	147	23.1%	No
CASP8	128394		38	35	147	23.8%	Yes
CCDC39	82085		38	24	147	16.3%	No
CDH16	11066		38	30	147	20.4%	No
CEMIP	172434		38	26	147	17.7%	No
CIC	27265		38	29	176	16.5%	Yes
CNTN1	379985		38	27	147	18.4%	No
DAPK1	211846		38	32	147	21.8%	No
DNAJC6	167653		38	28	147	19.0%	No
DNHD1	96499		38	31	147	21.1%	No
ENPP3	119127		38	24	147	16.3%	No
EPHB1	465208		38	24	176	13.6%	Yes
FLT1	194800		38	32	176	18.2%	Yes
GALNT17	581457		38	27	147	18.4%	No
HECTD1	108267		38	29	147	19.7%	No
IGSF11	245512		38	26	147	17.7%	No
ITGAX	27866		38	22	147	15.0%	No
KIAA1217	853103		38	30	147	20.4%	No
KRT14	4617		38	29	147	19.7%	No
LAMC3	85325		38	30	147	20.4%	No
LCOR	164154		38	27	147	18.4%	No
LTBP2	114196		38	28	147	19.0%	No
MYH9	106732		38	32	176	18.2%	Yes
MYRF	35926		38	29	147	19.7%	No
NELL1	908161		38	30	147	20.4%	No
NME8	51801		38	24	147	16.3%	No
NOS2	43993		38	25	147	17.0%	No
PER1	16040		38	24	176	13.6%	Yes
POM121L2	26371		38	31	147	21.1%	No
PRAG1	69622		38	30	147	20.4%	No
PRDM16	369454		38	24	147	16.3%	Yes
PRKCG	28463		38	29	147	19.7%	No
PRR14L	73952		38	29	147	19.7%	No
PRRC2B	126562		38	28	147	19.0%	No
RERE	496525		38	25	147	17.0%	No
ROBO1	1170760		38	28	176	15.9%	Yes
SEC16A	43748		38	27	147	18.4%	No
SLC39A12	91454		38	26	147	17.7%	No
SLC44A5	408986		38	31	147	21.1%	No
SNTG1	886904		38	30	147	20.4%	No
SYNPO2	210560		38	30	147	20.4%	No
SYT16	300702		38	28	147	19.0%	No
TIE1	22138		38	29	147	19.7%	No
TSHR	191318		38	25	176	14.2%	Yes
TULP4	279593		38	26	147	17.7%	No
ZNF407	467824		38	28	147	19.0%	No
ABCB11	115827		37	24	147	16.3%	No
ACSM2A	43658		37	25	147	17.0%	No
ADPRHL1	53878		37	21	147	14.3%	No
AHCTF1	92966		37	30	147	20.4%	No
AKAP13	368788		37	33	147	22.4%	No
AXDND1	189016		37	30	147	20.4%	No
CCDC60	206345		37	29	147	19.7%	No
CCDC88C	146522		37	26	147	17.7%	No
CD22	28101		37	26	147	17.7%	Yes
CEP170B	32230		37	24	147	16.3%	No
CEP85L	249304		37	30	147	20.4%	No
CHD3	27965		37	27	147	18.4%	No
DAB1	1551957		37	27	147	18.4%	No
DIP2C	415737		37	29	147	19.7%	No
EFCAB5	179253		37	24	147	16.3%	No
FGA	7620		37	26	147	17.7%	No
FLT3	97319		37	28	176	15.9%	Yes
FREM3	123374		37	22	147	15.0%	No
FRMPD1	95951		37	30	147	20.4%	No
GRIK5	71925		37	29	147	19.7%	No
HNF4G	158921		37	27	147	18.4%	No
IGF2R	144426		37	32	147	21.8%	No
INSRR	19055		37	31	147	21.1%	No
IQGAP3	47200		37	28	147	19.0%	No
ITGBL1	268264		37	29	147	19.7%	No
ITK	112253		37	32	176	18.2%	Yes
ITSN2	157944		37	32	147	21.8%	No
KANK4	83270		37	27	147	18.4%	No
KAT6B	207720		37	31	147	21.1%	Yes
KCNH4	24252		37	24	147	16.3%	No
KHDRBS2	655992		37	28	147	19.0%	No
KIF21B	54325		37	29	147	19.7%	No
LIFR	133687		37	29	176	16.5%	Yes
LTBP1	453038		37	27	147	18.4%	No
MGAT4C	883239		37	28	147	19.0%	No
MYO9B	138810		37	27	147	18.4%	No
NACAD	8533		37	27	147	18.4%	No
NIPBL	189645		37	29	147	19.7%	No
NOS3	24637		37	28	147	19.0%	No
NRG3	1111986		37	28	147	19.0%	No
PCARE	13548		37	26	147	17.7%	No
PCDH10	59313		37	27	147	18.4%	No
PCDHB1	7973		37	30	147	20.4%	No
PDGFRA	69117		37	27	176	15.3%	Yes
PLCL1	767989		37	30	147	20.4%	No
PLEKHG1	243818		37	28	147	19.0%	No
PLEKHG2	15747		37	28	147	19.0%	No
PLEKHH2	130728		37	29	147	19.7%	No
PRRC2C	107982		37	29	147	19.7%	No
PSD2	48663		37	30	147	20.4%	No
RBM20	195524		37	27	147	18.4%	No
RTN1	274821		37	23	147	15.6%	No
SATB2	201783		37	28	147	19.0%	No
SEZ6L	214136		37	31	147	21.1%	No
SLCO6A1	127243		37	28	147	19.0%	No
SLITRK2	12038		37	26	147	17.7%	No
TRANK1	118241		37	26	147	17.7%	No
TTBK2	182121		37	26	147	17.7%	No
TTC3	129887		37	31	147	21.1%	No
USP24	149395		37	29	147	19.7%	No
VWA5B2	13347		37	24	147	16.3%	No
ABCC11	81796		36	28	147	19.0%	No
ABL1	174633		36	30	176	17.0%	Yes
ALDH1L1	94434		36	28	147	19.0%	No
ATG2B	84147		36	27	147	18.4%	No
ATP1A3	30916		36	33	147	22.4%	No
CCDC73	191942		36	28	147	19.0%	No
COBL	300977		36	29	147	19.7%	No
COL8A1	160801		36	25	147	17.0%	No
CP	59589		36	28	147	19.0%	No
CRB2	24155		36	21	147	14.3%	No
DISP2	20403		36	28	147	19.0%	No
DMXL1	211367		36	32	147	21.8%	No
DNMT1	97945		36	29	176	16.5%	Yes
EYA1	394594		36	29	147	19.7%	No
F13B	28524		36	28	147	19.0%	No
FAM47B	2120		36	25	147	17.0%	No
FAM47C	3299		36	27	147	18.4%	No
FAP	74468		36	30	147	20.4%	No
FMN1	429171		36	26	147	17.7%	No
FRMPD4	902101		36	28	147	19.0%	No
FRYL	282966		36	28	147	19.0%	No
GARIN5B	8353		36	26	147	17.7%	No
GUCY1A2	344458		36	27	176	15.3%	No
IGSF9B	60531		36	26	147	17.7%	No
IQCN	17403		36	29	147	19.7%	No
MAP4K1	31521		36	23	147	15.6%	No
MAP9	34313		36	27	147	18.4%	No
MAPT	133977		36	26	147	17.7%	No
MNDA	18175		36	28	147	19.0%	No
MROH7	68513		36	24	147	16.3%	No
MROH9	129337		36	25	147	17.0%	No
MYO5B	372376		36	23	147	15.6%	No
NFASC	194172		36	31	147	21.1%	No
NR3C2	366788		36	28	147	19.0%	No
PCDHA11	144165		36	25	147	17.0%	No
PCDHB12	3875		36	32	147	21.8%	No
PCDHB8	4580		36	22	147	15.0%	No
PCDHGA5	148814		36	26	147	17.7%	No
PCNX3	21688		36	23	147	15.6%	No
PDCD11	49672		36	29	147	19.7%	Yes
PIGR	20846		36	30	147	20.4%	No
PLEKHG4B	97845		36	27	147	18.4%	No
PLXNC1	159099		36	25	147	17.0%	No
PNLIP	21925		36	28	147	19.0%	No
PTPRS	182447		36	25	147	17.0%	Yes
RB1	295702		36	29	176	16.5%	Yes
SETX	93693		36	30	147	20.4%	No
SEZ6L2	28392		36	24	147	16.3%	No
SLC4A8	124447		36	28	147	19.0%	No
SORBS2	371209		36	26	147	17.7%	No
SPAM1	46178		36	28	147	19.0%	No
SSC5D	30696		36	28	147	19.0%	No
SULF1	194312		36	29	147	19.7%	No
TET2	133942		36	29	176	16.5%	Yes
TEX13C	5346		36	13	147	8.8%	No
TRPC3	77580		36	26	147	17.7%	No
TSC2	42147		36	29	176	16.5%	Yes
ZFP28	17861		36	25	147	17.0%	No
ZNF318	62514		36	26	147	17.7%	No
ZNF609	225491		36	28	147	19.0%	No
ZNF667	39466		36	28	147	19.0%	No
A1CF	86308		35	31	147	21.1%	Yes
ACSM2B	40217		35	24	147	16.3%	No
AKAP9	169834		35	29	147	19.7%	No
APC2	26943		35	22	147	15.0%	No
ARHGEF11	112064		35	28	147	19.0%	No
ARMC3	110500		35	26	147	17.7%	No
ATN1	17860		35	26	147	17.7%	No
BLTP2	31015		35	28	147	19.0%	No
BRSK1	30491		35	22	147	15.0%	Yes
CABIN1	167443		35	27	147	18.4%	No
CCDC158	108872		35	23	147	15.6%	No
CDH6	135461		35	28	147	19.0%	No
CFAP221	117820		35	23	147	15.6%	No
CHD6	216367		35	30	147	20.4%	No
CHRM2	151604		35	27	147	18.4%	No
COL13A1	162396		35	25	147	17.0%	No
CROCC	232692		35	24	147	16.3%	No
DGKG	256594		35	26	147	17.7%	No
DNMBP	134371		35	29	147	19.7%	No
DSPP	8345		35	27	147	18.4%	No
EIF4G1	20869		35	26	147	17.7%	No
ELMO1	596318		35	29	147	19.7%	No
FBLN2	89350		35	23	147	15.6%	No
FSTL5	780109		35	28	147	19.0%	No
GRIK4	477190		35	28	147	19.0%	No
GRXCR1	137946		35	26	147	17.7%	No
GUCY1A1	70353		35	26	147	17.7%	No
HHIPL2	25847		35	30	147	20.4%	No
KDM3B	84348		35	29	147	19.7%	No
KIAA1614	38718		35	25	147	17.0%	No
KL	49721		35	26	147	17.7%	No
LATS2	88575		35	25	147	17.0%	Yes
LCT	49335		35	27	147	18.4%	No
LMO7	239437		35	25	147	17.0%	No
LMTK2	102779		35	28	147	19.0%	No
LMTK3	28665		35	26	147	17.7%	No
MAPKBP1	53422		35	28	147	19.0%	No
MME	159680		35	22	147	15.0%	No
MUC22	24929		35	15	147	10.2%	No
MYO1F	60002		35	27	147	18.4%	No
N4BP2	101595		35	27	147	18.4%	No
NIN	111742		35	31	147	21.1%	Yes
NLRP10	7911		35	28	147	19.0%	No
NOVA1	154944		35	29	147	19.7%	No
NRK	136218		35	26	147	17.7%	No
PCDH1	26157		35	33	147	22.4%	No
PCDHB13	5061		35	25	147	17.0%	No
PCDHB6	3231		35	26	147	17.7%	No
PLG	51993		35	30	147	20.4%	No
POU6F2	515187		35	26	147	17.7%	No
RBM46	47601		35	26	147	17.7%	No
ROBO4	14835		35	26	147	17.7%	No
RPRD2	113476		35	28	147	19.0%	No
SEL1L2	147197		35	25	147	17.0%	No
SIGLEC6	14038		35	24	147	16.3%	No
SLC4A3	14970		35	27	147	18.4%	No
SLCO1B1	109955		35	27	147	18.4%	No
SMC1B	69557		35	26	147	17.7%	No
SP140	113468		35	26	147	17.7%	Yes
SPTAN1	81106		35	31	176	17.6%	No
SPTBN1	215159		35	30	147	20.4%	No
TECPR1	37612		35	25	147	17.0%	No
TMEM108	359454		35	25	147	17.0%	No
TPR	64042		35	26	147	17.7%	Yes
UGT2B11	14798		35	22	147	15.0%	No
ZIM2	66185		35	28	147	19.0%	No
ABCC2	69955		34	26	176	14.8%	No
ACAD10	71089		34	26	147	17.7%	No
ADAMTS5	49167		34	21	147	14.3%	No
ADGRA1	43752		34	25	147	17.0%	No
ANKRD17	185772		34	25	147	17.0%	No
APBA1	244840		34	23	147	15.6%	No
AUTS2	1195211		34	27	147	18.4%	No
BOD1L1	58988		34	28	147	19.0%	No
BRWD1	137384		34	25	147	17.0%	No
C1ORF94	52249		34	27	147	18.4%	No
C3ORF20	97896		34	28	147	19.0%	No
CCSER1	1477902		34	26	147	17.7%	No
CCT8L2	2060		34	30	147	20.4%	No
CDHR2	53774		34	29	147	19.7%	No
CFAP57	82029		34	23	147	15.6%	No
CHST9	278864		34	28	147	19.0%	No
CLCN1	35973		34	27	147	18.4%	No
COL4A6	283891		34	24	147	16.3%	No
CUX1	468055		34	25	147	17.0%	Yes
DAAM2	112580		34	27	147	18.4%	No
DENND3	78531		34	29	147	19.7%	No
DENND4A	134248		34	22	147	15.0%	No
DNAI3	133992		34	26	147	17.7%	No
DPYD	917258		34	29	176	16.5%	Yes
EPX	12449		34	27	147	18.4%	No
ERBB3	26707		34	25	176	14.2%	Yes
ERN2	22964		34	30	147	20.4%	No
ESPL1	25359		34	22	147	15.0%	No
FARP1	313012		34	26	147	17.7%	No
FBXO40	37549		34	26	147	17.7%	No
FCRL2	31537		34	26	147	17.7%	No
GABRB3	395988		34	25	147	17.0%	No
GNAS	71475		34	30	176	17.0%	Yes
IL16	154484		34	26	147	17.7%	No
INPP5D	147937		34	25	147	17.0%	Yes
ITGA9	371418		34	29	147	19.7%	No
ITGAL	50910		34	26	147	17.7%	No
KCNMA1	768769		34	26	147	17.7%	No
L1CAM	24694		34	23	147	15.6%	No
L1TD1	40804		34	23	147	15.6%	Yes
LRRC53	43236		34	21	147	14.3%	No
MED13	122674		34	29	147	19.7%	No
MUCL3	13249		34	22	147	15.0%	No
MYBPC3	21297		34	26	147	17.7%	No
NEFH	11173		34	24	147	16.3%	No
